Explored 1965 nodes
Solutions to 8-Queens:
Solution #1:  Q1 = 1,  Q2 = 5,  Q3 = 8,  Q4 = 6,  Q5 = 3,  Q6 = 7,  Q7 = 2,  Q8 = 4,  
Solution #2:  Q1 = 1,  Q2 = 6,  Q3 = 8,  Q4 = 3,  Q5 = 7,  Q6 = 4,  Q7 = 2,  Q8 = 5,  
Solution #3:  Q1 = 1,  Q2 = 7,  Q3 = 4,  Q4 = 6,  Q5 = 8,  Q6 = 2,  Q7 = 5,  Q8 = 3,  
Solution #4:  Q1 = 1,  Q2 = 7,  Q3 = 5,  Q4 = 8,  Q5 = 2,  Q6 = 4,  Q7 = 6,  Q8 = 3,  
Solution #5:  Q1 = 2,  Q2 = 4,  Q3 = 6,  Q4 = 8,  Q5 = 3,  Q6 = 1,  Q7 = 7,  Q8 = 5,  
Solution #6:  Q1 = 2,  Q2 = 5,  Q3 = 7,  Q4 = 1,  Q5 = 3,  Q6 = 8,  Q7 = 6,  Q8 = 4,  
Solution #7:  Q1 = 2,  Q2 = 5,  Q3 = 7,  Q4 = 4,  Q5 = 1,  Q6 = 8,  Q7 = 6,  Q8 = 3,  
Solution #8:  Q1 = 2,  Q2 = 6,  Q3 = 1,  Q4 = 7,  Q5 = 4,  Q6 = 8,  Q7 = 3,  Q8 = 5,  
Solution #9:  Q1 = 2,  Q2 = 6,  Q3 = 8,  Q4 = 3,  Q5 = 1,  Q6 = 4,  Q7 = 7,  Q8 = 5,  
Solution #10:  Q1 = 2,  Q2 = 7,  Q3 = 3,  Q4 = 6,  Q5 = 8,  Q6 = 5,  Q7 = 1,  Q8 = 4,  
Solution #11:  Q1 = 2,  Q2 = 7,  Q3 = 5,  Q4 = 8,  Q5 = 1,  Q6 = 4,  Q7 = 6,  Q8 = 3,  
Solution #12:  Q1 = 2,  Q2 = 8,  Q3 = 6,  Q4 = 1,  Q5 = 3,  Q6 = 5,  Q7 = 7,  Q8 = 4,  
Solution #13:  Q1 = 3,  Q2 = 1,  Q3 = 7,  Q4 = 5,  Q5 = 8,  Q6 = 2,  Q7 = 4,  Q8 = 6,  
Solution #14:  Q1 = 3,  Q2 = 5,  Q3 = 2,  Q4 = 8,  Q5 = 1,  Q6 = 7,  Q7 = 4,  Q8 = 6,  
Solution #15:  Q1 = 3,  Q2 = 5,  Q3 = 2,  Q4 = 8,  Q5 = 6,  Q6 = 4,  Q7 = 7,  Q8 = 1,  
Solution #16:  Q1 = 3,  Q2 = 5,  Q3 = 7,  Q4 = 1,  Q5 = 4,  Q6 = 2,  Q7 = 8,  Q8 = 6,  
